,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AL671762.1,4.95183760757049,-1.20398447483657,0.658267914646065,4.04435285853415,0.13236706379982,0.901992430178218
ALAS1,14.0395613665763,-0.186070973412366,0.320382389729273,0.546255885136276,0.760995417692107,0.999822123505485
ALCAM,38.6876240386862,-0.298585378528035,0.265158752624239,1.29153205710514,0.524260789515498,0.999822123505485
ALDH18A1,7.93264153244994,-0.615160637372645,0.417054479107468,2.49525240409964,0.287185709214129,0.999822123505485
ALDH1A2,24.7250570470326,0.386589099153226,0.24258128672508,3.72219728746411,0.155501695523832,0.990266027561811
ALDH1A3,117.908371884975,-0.54177480318821,0.134691487941713,22.7363083888103,1.1557751802284e-05,0.000591290697246258
ALDH2,5.61885251758484,-0.175307951211145,0.477339935747698,0.30318931959696,0.859336533799657,0.999822123505485
ALDH3A2,5.63391706856244,-0.0341565754275489,0.500834237103079,0.0399098071466,0.980242877761102,0.999822123505485
ALDH7A1,18.311316049346,0.374582230950031,0.285135214494405,1.70246771142017,0.426887888808824,0.999822123505485
ALDH9A1,5.63083741094786,0.0810648190679161,0.483696368534128,0.215806961760805,0.897714238837026,0.999822123505485
ALDOA,151.638524732973,-0.0241587656825302,0.116731853382802,0.0929223809876589,0.954601607468055,0.999822123505485
ALG1,11.2455382442456,-0.448439039359271,0.354677800262846,1.66409825010411,0.435156681646634,0.999822123505485
ALG13,8.22389696677693,-0.19789962661891,0.408555077059084,0.298494931318608,0.861355932508652,0.999822123505485
ALG2,5.05129944844903,-0.570374718125457,0.522970903030959,1.642156698266,0.439956971396275,0.999822123505485
ALG3,20.960616687479,-0.275325675438759,0.267192476178957,1.10395728874101,0.575809360530525,0.999822123505485
ALG5,11.6811828434561,-0.533585159943385,0.340617837906849,2.58047598579225,0.275205278394002,0.999822123505485
ALG8,13.9234521386383,0.245856333419968,0.312291514369008,1.22662912482362,0.54155288012684,0.999822123505485
ALKBH2,8.22334846892188,-0.473649916615246,0.404520584734629,1.74341041322061,0.418237759049306,0.999822123505485
ALKBH3,7.1467940207749,-0.48656019267057,0.439013433850836,1.37649532487175,0.502455770194706,0.999822123505485
ALKBH5,7.62196081065411,-0.236528688261601,0.418275864255559,0.433881284308733,0.80497774963192,0.999822123505485
ALKBH6,5.58014508103592,-0.435082713483313,0.488240846492214,0.8689867178459,0.647592681031755,0.999822123505485
ALYREF,23.3167988357681,0.278354439930513,0.248921434026567,1.68762728807145,0.430067268552432,0.999822123505485
AMBRA1,7.1394364220522,0.889894543789124,0.506782838010749,4.11344776789505,0.127872208616763,0.89173654760464
AMD1,9.08627984038774,0.105647763989581,0.393753778914339,0.582309728453474,0.747399923543986,0.999822123505485
AMFR,13.6363198239732,0.230553808078661,0.325953304079296,0.620493260043474,0.733266088490156,0.999822123505485
AMIGO2,12.2648355883139,-0.486139256150515,0.33949240484597,2.14768038286056,0.341693825000536,0.999822123505485
AMOTL2,14.3035123386958,0.558085672621462,0.354069846855577,5.96682327993105,0.0506198422632453,0.524997614478087
AMZ2,12.0961919158194,-0.517673369593821,0.34136369263996,2.42460013918708,0.297512193109728,0.999822123505485
ANAPC1,8.4257434791841,0.0148283237285363,0.426955439602101,0.266348794354208,0.875312426780642,0.999822123505485
